Name	Birthdate	Sex	Profession	Lang
SALİM USLU	1955	M	WORKER	0
MURAT YILDIRIM	1958	M	TEACHER	1
EMİN HALUK AYHAN	1957	M	BUREAUCRAT	1
İLHAN CİHANER	1968	M	PROSECUTOR	0
NURCAN DALBUDAK	1979	W	TECHNICIAN	1
ADNAN KESKİN	1942	M	LAWYER	0
BİLAL UÇAR	1969	M	LAWYER	2
MEHMET Y�KSEL	1955	M	BUSINESSMAN	1
NİHAT ZEYBEKÇİ	1961	M	BUSINESSMAN	2
NURSEL AYDOĞAN	1958	W	ENGINEER	1
EMİNE AYNA	1968	W		1
MEHMET MEHDİ EKER	1956	M	VET	1
MEHMET GALİP ENSARİOĞLU	1966	M	BUSINESSMAN	3
OYA ERONAT	1962	W	ENGINEER	1
MEHMET SÜLEYMAN HAMZAOĞULLARI	1975	M	DOCTOR	1
CUMA İÇTEN	1973	M	IT SPECIALIST	3
MİNE LÖK BEYAZ	1973	W	ARCHITECT	1
ALTAN TAN	1958	M	ENGINEER	3
LEYLA ZANA	1961	W	JOURNALIST	1
FEVAİ ARSLAN	1966	M	BUSINESSMAN	1
OSMAN ÇAKIR	1964	M	TEACHER	1
İBRAHİM KORKMAZ	1960	M	ENGINEER	1
KEMAL DEĞİRMENDERELİ	1956	M	ENGINEER	1
MEHMET MÜEZZİNOĞLU	1955	M	DOCTOR	3
ŞUAY ALPAY	1960	M	LAWYER	0
SERMİN BALIK	1972	W	BUSINESSWOMAN	1
ZÜLFÜ DEMİRBAŞ	1956	M	ENGINEER	2
ENVER ERDEM	1963	M	BUREAUCRAT	1
FARUK SEPTİOĞLU	1961	M	BUSINESSMAN	1
MUHARREM IŞIK	1966	M	DOCTOR	1
SEBAHATTİN KARAKELLE	1950	M	TEACHER	0
RECEP AKDAĞ	1960	M	DOCTOR	1
MUHYETTİN AKSAK	1957	M	ENGINEER	1
FAZİLET DAĞCI ÇIĞLIK	1973	W	ENGINEER	4
OKTAY ÖZTÜRK	1951	M	LAWYER	1
CENGİZ YAVİLİOĞLU	1970	M	ECONOMIST	2
ADNAN YILMAZ	1953	M	BUREAUCRAT	1
NABİ AVCI	1953	M	ACADEMICIAN	2
BEDİİ SÜHEYL BATUM	1955	M	ACADEMICIAN	2
ÜLKER CAN	1963	W	PHARMACIST	1
RUHSAR DEMİREL	1963	W	DOCTOR	1
SALİH KOCA	1972	M	ENGINEER	2
DERYA BAKBAK	1972	W	ARCHITECT	1
HÜSEYİN ÇELİK	1959	M	ACADEMICIAN	1
MEHMET ERDOĞAN	1956	M	BUSINESSMAN	0
ABDULLAH NEJAT KOÇER	1963	M	BUSINESSMAN	1
İBRAHİM HALİL MAZICIOĞLU	1960	M	ENGINEER	1
MEHMET SARI	1968	M	BUSINESSMAN	0
ALİ SERİNDAĞ	1951	M	BUREAUCRAT	1
ALİ ŞAHİN	1970	M	IR SPECIALIST	3
MEHMET ŞEKER	1963	M	DOCTOR	1
ŞAMİL TAYYAR	1965	M	JOURNALIST	1
EDİP SEMİH YALÇIN	1958	M	ACADEMICIAN	1
NURETTİN CANİKLİ	1960	M	ACCOUNTANT	1
MEHMET GELD�	1960	M	ENGINEER	1
SELAHATTİN KARAAHMETOĞLU	1952	M	PHARMACIST	0
ADEM TATLI	1968	M	VET	2
KEMALETTİN AYDIN	1962	M	DOCTOR	1
FERAMUZ ÜSTÜN	1970	M	ACCOUNTANT	1
ESAT CANAN	1950	M	LAWYER	2
SELAHATTİN DEMİRTAŞ	1973	M	LAWYER	3
ADİL ZOZANİ	1970	M	JOURNALIST	1
HASAN AKGÖL	1965	M	TECHNICIAN	0
ADNAN ŞEFİK ÇİRKİN	1962	M	FARMER	0
MEVLÜT DUDU	1966	M	LAWYER	1
MEHMET ALİ EDİBOĞLU	1958	M	DOCTOR	2
SADULLAH ERGÜN	1964	M	LAWYER	1
REFİK ERYILMAZ	1964	M	LAWYER	2
ORHAN KARASAYAR	1965	M	ENGINEER	1
MEHMET ÖNTÜRK	1970	M	ECONOMIST	1
HACI BAYRAM TÜRKOĞLU	1954	M	PHARMACIST	2
ADEM YEŞİLDAL	1976	M	LAWYER	2
PERVİN BULDAN	1967	W		1
SİNAN OĞAN	1967	M	STRATEGIST	2
SÜREYYA SADİ BİLGİÇ	1961	M	ECONOMIST	2
SÜLEYMAN NEVZAT KORKMAZ	1965	M	BUREAUCRAT	1
ALI HAYDAR ÖNER	1948	M	BUREAUCRAT	2
RECEP ÖZEL	1969	M	LAWYER	1
CELAL ADAN	1951	M	ENGINEER	0
SABAHAT AKKİRAY	1955	W	ARTIST	1
ABDÜLKADIR AKSU	1944	M	BUREAUCRAT	1
MERAL AKŞENER	1956	W	ACADEMICIAN	0
ENGİN ALAN	1945	M	ARMY OFFICER	2
MUSTAFA ATAŞ	1957	M	ADMINISTRATOR	2
AYDIN AĞAN AYAYDIN	1951	M	ACADEMICIAN	1
EGEMEN BAĞIŞ	1970	M	ADMINISTRATOR	2
AYŞE NUR BAHÇEKAPILI	1954	W	LAWYER	1
OSMAN AŞKIN BAK	1966	M	ENGINEER	3
İHSAN BARUTÇU	1959	M	BUSINESSMAN	2
NİMET BAŞ	1965	W	LAWYER	1
MURAT BAŞESGİOĞLU	1955	M	LAWYER	1
OSMAN BOYRAZ	1974	M	ENGINEER	1
VOLKAN BOZKIR	1950	M	BUREAUCRAT	2
HÜSEYİN BÜRGE	1955	M	TEACHER	2
ERCAN CENGİZ	1957	M	PROSECUTOR	1
SÜLEYMAN ÇELEBİ	1953	M	TECHNICIAN	0
MUHAMMED ÇETİN	1963	M	ACADEMICIAN	4
AHMET BERAT ÇONKAR	1976	M	BUSINESSMAN	2
TÜRKAN DAĞOĞLU	1945	W	DOCTOR	1
GÜLAY DALYAN	1962	W	ENGINEER	1
AYŞE ESER DANIŞOĞLU	1962	W	ACADEMICIAN	2
ALEV DEDEGİL	1958	W	ADMINISTRATOR	1
CELAL DİNÇER	1957	M	BUREAUCRAT	2
ÖMER DİNÇER	1956	M	ACADEMICIAN	1
MEHMET DOMAÇ	1950	M	PHARMACIST	1
OSMAN OKTAY EKŞİ	1934	M	JOURNALIST	1
EKREM ERDEM	1948	M	TEACHER	0
AYKUT ERDOĞDU	1972	M	ADMINISTRATOR	2
GÜRSOY EROL	1956	M	ENGINEER	1
AHMET HALDUN ERTÜRK	1955	M	DOCTOR	1
HALUK EYİDOĞAN	1950	M	ACADEMICIAN	1
İDRİS GÜLLÜCE	1950	M	ENGINEER	2
MEHMET AKİF HAMZAÇEBİ	1953	M	ECONOMIST	1
HALİDE İNCEKARA	1959	W	ADMINISTRATOR	1
ÜNAL KACIR	1953	M	ENGINEER	1
HARUN KARACA	1962	M	ACCOUNTANT	1
ATİLA KAYA	1957	M	BUSINESSMAN	0
EROL KAYA	1959	M	ADMINISTRATOR	0
TÜLAY KAYNARCA	1969	W	JOURNALIST	0
KEMAL KILIÇDAROĞLU	1948	M	ECONOMIST	1
FEYZULLAH KIYIKLIK	1949	M	LAWYER	3
OSMAN TANEY KORUTÜRK	1944	M	BUREAUCRAT	2
MEHMET DOĞAN KUBAT	1969	M	LAWYER	1
BURHAN KUZU	1955	M	ACADEMICIAN	1
SEDEF KÜÇÜK	1958	W	ADMINISTRATOR	2
